,,"Contrib. Mgn., Ratio","Contrib. Mgn., Ratio","Contrib. Mgn., Ratio","Contrib. Mgn., Ratio","Contrib. Mgn., Ratio","D/E, Ratio","D/E, Ratio","D/E, Ratio","D/E, Ratio","D/E, Ratio",OFC,OFC,OFC,OFC,OFC
Ticker,,CPB,DELL,GM,PEP,PG,CPB,DELL,GM,PEP,PG,CPB,DELL,GM,PEP,PG
Year,Quarter,,,,,,,,,,,,,,,
2019,3,0.12075983717774763,0.023609700075091656,0.05671406151619664,0.1631951161840889,0.24103831891223734,0.9154243991481594,0.9643438365650969,0.7893525217143424,0.8163318010433346,0.5880692279366638,1398000000.0,3962000000.0,11548000000.0,5063000000.0,4169000000.0
2019,4,0.14521300961978928,0.02796453421802061,0.039938209083556185,0.15322880838581915,0.24340973416948777,0.9047292143401984,0.9588148680808807,0.7984669154567022,0.8107120577488638,0.5890908765428784,182000000.0,5783000000.0,15021000000.0,9649000000.0,8533000000.0
2020,1,0.15350978135788262,0.028452373201380297,0.020086214803265157,0.13860672862185722,0.22956884248478931,0.7855671872318517,0.9681644946618319,0.82030540417802,0.8405986221814676,0.6125084345479083,663000000.0,9291000000.0,1561000000.0,-749000000.0,12597000000.0
2020,2,0.14279204010329638,0.032059186189889025,-0.011255481237496716,0.14225843224032722,0.22136715997181114,0.797059286051266,0.969385209088792,0.8168985623171322,0.859402401563809,0.6116155758077879,1125000000.0,-796000000.0,-1254000000.0,1462000000.0,17403000000.0
2020,3,0.1273731446323783,0.04118306072148779,0.04551178692904304,0.1513867729615794,0.27337198467750284,0.7923537019075332,0.9573864573369835,0.7996920778901077,0.8522940863310916,0.5948590063303281,1396000000.0,2536000000.0,9977000000.0,6123000000.0,4739000000.0
2020,4,0.197008547008547,0.043560606060606064,0.05416173408988856,0.14323878815437957,0.2729181066482349,0.7766771361842635,0.9456401116454249,0.7887828771142121,0.8541509718246195,0.5958771812974557,180000000.0,5530000000.0,16670000000.0,10613000000.0,10163000000.0
2021,1,0.18662048062351158,0.05459330956019698,0.10091149842951284,0.15600539811066128,0.25267613517106274,0.7659625540086413,0.9349754892030953,0.7716422480506352,0.8459506270279751,0.5982205552415695,611000000.0,11407000000.0,1266000000.0,-719000000.0,14250000000.0
2021,2,0.1717401181281236,0.05615224404786213,0.09242058192404076,0.15985545142051297,0.23629102183452008,0.7446717817561808,0.924896510940272,0.7606481309164899,0.8333279211993289,0.6089584014349535,881000000.0,2238000000.0,8428000000.0,2340000000.0,18371000000.0
